signal_prior,posterior_prior
-63.622642,-43.773585
-40.534884,-28.046512
-30.352941,-3.7352941
-24.170213,-12.297872
-20.12,-17.24
-14.448276,-6.4482759
-8.5,-10.107143
-4.8043478,-2.8695652
-3,-4.1463415
-2,10.046875
-1,-11.141026
0,-3.7037037
1.6428571,-7.25
3.55,-7.6
10.1,7.975
16.634615,4.8846154
19.784314,-2.7254902
21.692308,4.6923077
23,3.6666667
24,2.3731343
25.709091,2.9454545
27,-1.037037
28,.37837838
29,9.122449
30,.33333333
32.272727,3.5227273
34.323529,1.6176471
36.377778,10.888889
38.545455,15.318182
40,21.75
41.981818,10.254545
44,16.4375
46.344262,8.3278689
48,27.761905
49,5.16
59.520833,22.520833
70.921053,28.421053
91.684211,51.026316
